gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000085214	0610005C13Rik	CD103+Tom+ LP Trm	Baseline	12.24627897653213	4.572367561899576	3	13.24627897653213
ENSMUSG00000085214	0610005C13Rik	CD103+Tom+ LP Trm	Infected	18.87683699522169	14.923595770724178	3	19.87683699522169
ENSMUSG00000085214	0610005C13Rik	CD103-Tom- LP Trm	Baseline	6.642398743812667	4.865202005229068	2	7.642398743812667
ENSMUSG00000085214	0610005C13Rik	CD103-Tom- LP Trm	Infected	15.817096346814623	8.02539687527265	3	16.817096346814623
ENSMUSG00000021252	0610007P14Rik	CD103+Tom+ LP Trm	Baseline	1280.801285744142	207.6852997117851	3	1281.801285744142
ENSMUSG00000021252	0610007P14Rik	CD103+Tom+ LP Trm	Infected	759.4225730883803	430.4481469040906	3	760.4225730883803
ENSMUSG00000021252	0610007P14Rik	CD103-Tom- LP Trm	Baseline	1199.2231492234007	191.55259844650044	2	1200.2231492234007
ENSMUSG00000021252	0610007P14Rik	CD103-Tom- LP Trm	Infected	547.760753530148	305.9407050554601	3	548.760753530148
ENSMUSG00000007777	0610009B22Rik	CD103+Tom+ LP Trm	Baseline	172.60562358373213	46.989865568236404	3	173.60562358373213
ENSMUSG00000007777	0610009B22Rik	CD103+Tom+ LP Trm	Infected	129.89751129530694	29.072855712678237	3	130.89751129530694
ENSMUSG00000007777	0610009B22Rik	CD103-Tom- LP Trm	Baseline	269.0059247066801	186.3662763625428	2	270.0059247066801
ENSMUSG00000007777	0610009B22Rik	CD103-Tom- LP Trm	Infected	816.7651785479097	387.28600163751304	3	817.7651785479097
ENSMUSG00000086714	0610009E02Rik	CD103+Tom+ LP Trm	Baseline	2.1797293554788255	1.905724652718937	3	3.1797293554788255
ENSMUSG00000086714	0610009E02Rik	CD103+Tom+ LP Trm	Infected	5.160951128071769	5.160951128071769	3	6.160951128071769
ENSMUSG00000086714	0610009E02Rik	CD103-Tom- LP Trm	Baseline	189.87541235918863	189.8754123591886	2	190.87541235918863
