gene_id	gene_name	condition	normalized_count	sem_normalized_count	raw_count	n_cells	n_samples	plot_expression
Xkr4	Xkr4	resting	0.0	0.0	0.0	608	3	1.0
Gm1992	Gm1992	resting	0.0	0.0	0.0	608	3	1.0
Gm19938	Gm19938	resting	0.0	0.0	0.0	608	3	1.0
Gm37381	Gm37381	resting	0.0	0.0	0.0	608	3	1.0
Rp1	Rp1	resting	0.0	0.0	0.0	608	3	1.0
Sox17	Sox17	resting	0.0	0.0	0.0	608	3	1.0
Gm37587	Gm37587	resting	0.0	0.0	0.0	608	3	1.0
Gm37323	Gm37323	resting	0.0	0.0	0.0	608	3	1.0
Mrpl15	Mrpl15	resting	95.94024661443552	5.965774263270219	302.0	608	3	96.94024661443552
Lypla1	Lypla1	resting	97.43344715821031	6.247408477465176	294.0	608	3	98.43344715821031
Tcea1	Tcea1	resting	235.68279695136326	26.371659929339906	671.0	608	3	236.68279695136326
Rgs20	Rgs20	resting	0.0	0.0	0.0	608	3	1.0
Gm16041	Gm16041	resting	0.0	0.0	0.0	608	3	1.0
Atp6v1h	Atp6v1h	resting	77.58841936290796	9.691159722879405	251.0	608	3	78.58841936290796
Oprk1	Oprk1	resting	0.0	0.0	0.0	608	3	1.0
Npbwr1	Npbwr1	resting	0.0	0.0	0.0	608	3	1.0
Rb1cc1	Rb1cc1	resting	116.22696133988025	1.9852269312775355	356.0	608	3	117.22696133988025
4732440D04Rik	4732440D04Rik	resting	16.817956986618345	4.581594247133652	48.0	608	3	17.817956986618345
Alkal1	Alkal1	resting	0.0	0.0	0.0	608	3	1.0
St18	St18	resting	0.0	0.0	0.0	608	3	1.0
Pcmtd1	Pcmtd1	resting	165.0225591078171	9.734069767264069	498.0	608	3	166.0225591078171
Gm26901	Gm26901	resting	1.0087118989944186	0.5046400179207035	4.0	608	3	2.0087118989944184
Gm30414	Gm30414	resting	0.0	0.0	0.0	608	3	1.0
Sntg1	Sntg1	resting	0.0	0.0	0.0	608	3	1.0
Rrs1	Rrs1	resting	46.779745599481885	1.6271534381584905	145.0	608	3	47.779745599481885
Adhfe1	Adhfe1	resting	0.0	0.0	0.0	608	3	1.0
2610203C22Rik	2610203C22Rik	resting	0.2472907132985331	0.2472907132985331	1.0	608	3	1.2472907132985331
Vxn	Vxn	resting	0.0	0.0	0.0	608	3	1.0
Gm29520	Gm29520	resting	0.0	0.0	0.0	608	3	1.0
Mybl1	Mybl1	resting	5.790706887439012	3.5367718614682033	11.0	608	3	6.790706887439012
Vcpip1	Vcpip1	resting	63.70956247887235	2.9244383049278553	198.0	608	3	64.70956247887236
1700034P13Rik	1700034P13Rik	resting	1.5130678484916285	0.7569600268810552	6.0	608	3	2.5130678484916285
Sgk3	Sgk3	resting	26.323777214481495	1.7318192696939843	83.0	608	3	27.323777214481495
Mcmdc2	Mcmdc2	resting	0.7418721398955994	0.7418721398955994	3.0	608	3	1.7418721398955994
Snhg6	Snhg6	resting	50.38393415883467	5.181556128184506	147.0	608	3	51.38393415883467
